unit_number,reading_date,previous_reading,current_reading,units_consumed,month,year
A9,12/01/2024,29.1063,32.9334,3.8271,December,2024
A9,01/01/2025,32.9334,37.1910,4.2576,January,2025
A9,02/01/2025,37.1910,37.1910,0.0000,February,2025
A9,03/01/2025,37.1910,37.1910,0.0000,March,2025
B1,01/01/2025,0.8420,0.8420,0.0000,January,2025
B1,02/01/2025,0.8420,7.3220,6.4800,February,2025
B1,03/01/2025,7.3220,11.8483,4.5263,March,2025
B2,01/01/2025,0.0870,0.0870,0.0000,January,2025
B2,02/01/2025,0.0870,0.9241,0.8371,February,2025
B2,03/01/2025,0.9241,1.3222,0.3981,March,2025
B3,03/01/2025,0.0591,0.0591,0.0000,March,2025
B4,01/01/2025,0.6057,8.6075,8.0018,January,2025
B4,02/01/2025,8.6075,15.2013,6.5938,February,2025
B4,03/01/2025,15.2013,20.2577,5.0564,March,2025
B5,06/01/2024,4.2091,4.2091,0.0000,June,2024
B5,07/01/2024,4.2091,5.8845,1.6754,July,2024
B5,08/01/2024,5.8845,7.2210,1.3365,August,2024
B5,9/1/2024,7.2210,7.8871,0.6661,September,2024
B5,10/01/2024,7.8871,9.1362,1.2491,October,2024
B5,11/01/2024,9.1362,10.4560,1.3198,November,2024
B5,12/01/2024,10.4560,11.6393,1.1833,December,2024
B5,01/01/2025,11.6393,11.6951,0.0558,January,2025
B5,02/01/2025,11.6951,13.3552,1.6601,February,2025
B5,03/01/2025,13.3552,14.5994,1.2442,March,2025
B6,06/01/2024,0.0692,0.0692,0.0000,June,2024
B6,07/01/2024,0.0692,1.5501,1.4809,July,2024
B6,08/01/2024,1.5501,3.1605,1.6104,August,2024
B6,09/01/2024,3.1605,4.2102,1.0497,September,2024
B6,10/01/2024,4.2102,5.7470,1.5368,October,2024
B6,11/01/2024,5.7470,7.3500,1.6030,November,2024
B6,12/01/2024,7.3500,8.1564,0.8064,December,2024
B6,01/01/2025,8.1564,10.1680,2.0116,January,2025
B6,02/01/2025,10.1680,12.7767,2.6087,February,2025
B6,03/01/2025,12.7767,15.2251,2.4484,March,2025
B7,06/01/2024,0.1151,0.1151,0.0000,June,2024
B7,07/01/2024,0.1151,1.0390,0.9239,July,2024
B7,08/01/2024,1.0390,1.9705,0.9315,August,2024
B7,09/01/2024,1.9705,2.7478,0.7773,September,2024
B7,10/01/2024,2.7478,3.4112,0.6634,October,2024
B7,11/01/2024,3.4112,4.0640,0.6528,November,2024
B7,12/01/2024,4.0640,4.7360,0.6720,December,2024
B7,01/01/2025,4.7360,5.4245,0.6885,January,2025
B7,02/01/2025,5.4245,5.7700,0.3455,February,2025
B7,03/01/2025,5.7700,6.1801,0.4101,March,2025
B8,10/01/2024,5.7654,5.7654,0.0000,October,2024
B8,11/01/2024,5.7654,9.3584,3.5930,November,2024
B8,12/01/2024,9.3584,12.7340,3.3756,December,2024
B8,01/01/2025,12.7340,16.3555,3.6215,January,2025
B8,02/01/2025,16.3555,20.4320,4.0765,February,2025
B8,03/01/2025,20.4320,24.3892,3.9572,March,2025
B9,08/01/2024,0.0000,1.9318,1.9318,August,2024
B9,09/01/2024,1.9318,4.8658,2.9340,September,2024
B9,10/01/2024,4.8658,7.0389,2.1731,October,2024
B9,11/01/2024,7.0389,9.5084,2.4695,November,2024
B9,12/01/2024,9.5084,11.6650,2.1566,December,2024
B9,01/01/2025,11.6650,13.3029,1.6379,January,2025
B9,02/01/2025,13.3029,13.8525,0.5496,February,2025
B9,03/01/2025,13.8525,16.5616,2.7091,March,2025
